" Австралия","AU","AUS","036","ISO 3166-2:AU"
" Австрия","AT","AUT","040","ISO 3166-2:AT"
" Азербайджан","AZ","AZE","031","ISO 3166-2:AZ"
" Аландские острова","AX","ALA","248","ISO 3166-2:AX"
" Албания","AL","ALB","008","ISO 3166-2:AL"
" Алжир","DZ","DZA","012","ISO 3166-2:DZ"
" Американские Виргинские острова","VI","VIR","850","ISO 3166-2:VI"
" Американское Самоа","AS","ASM","016","ISO 3166-2:AS"
" Ангилья","AI","AIA","660","ISO 3166-2:AI"
" Ангола","AO","AGO","024","ISO 3166-2:AO"
" Андорра","AD","AND","020","ISO 3166-2:AD"
" Антарктида","AQ","ATA","010","ISO 3166-2:AQ"
" Антигуа и Барбуда","AG","ATG","028","ISO 3166-2:AG"
" Аргентина","AR","ARG","032","ISO 3166-2:AR"
" Армения","AM","ARM","051","ISO 3166-2:AM"
" Аруба","AW","ABW","533","ISO 3166-2:AW"
" Афганистан","AF","AFG","004","ISO 3166-2:AF"
" Багамы","BS","BHS","044","ISO 3166-2:BS"
" Бангладеш","BD","BGD","050","ISO 3166-2:BD"
" Барбадос","BB","BRB","052","ISO 3166-2:BB"
" Бахрейн","BH","BHR","048","ISO 3166-2:BH"
" Белиз","BZ","BLZ","084","ISO 3166-2:BZ"
" Белоруссия","BY","BLR","112","ISO 3166-2:BY"
" Бельгия","BE","BEL","056","ISO 3166-2:BE"
" Бенин","BJ","BEN","204","ISO 3166-2:BJ"
" Бермуды","BM","BMU","060","ISO 3166-2:BM"
" Болгария","BG","BGR","100","ISO 3166-2:BG"
" Боливия","BO","BOL","068","ISO 3166-2:BO"
" Бонэйр, Синт-Эстатиус и Саба","BQ","BES","535","ISO 3166-2:BQ"
" Босния и Герцеговина","BA","BIH","070","ISO 3166-2:BA"
" Ботсвана","BW","BWA","072","ISO 3166-2:BW"
" Бразилия","BR","BRA","076","ISO 3166-2:BR"
" Британская территория в Индийском океане","IO","IOT","086","ISO 3166-2:IO"
" Британские Виргинские острова","VG","VGB","092","ISO 3166-2:VG"
" Бруней","BN","BRN","096","ISO 3166-2:BN"
" Буркина-Фасо","BF","BFA","854","ISO 3166-2:BF"
" Бурунди","BI","BDI","108","ISO 3166-2:BI"
" Бутан","BT","BTN","064","ISO 3166-2:BT"
" Вануату","VU","VUT","548","ISO 3166-2:VU"
