"Производитель 
(Название 
На русском/английском языке, 
или ID) ","Страна происхождения товара 
(2-х буквенный код)","Бренд
(Название 
На русском/английском языке, 
или ID) ","Серия
(Название 
На русском/английском языке, 
или ID) ",Артикул производителя,Наш артикул,Наименование,Штрихкод(ы),Категория (название категории, или ID),"Категория
(Название подкатегории, или ID, или несколько названий/ID через запятую )","Масса нетто
(число+килограмм)","Масса брутто
(число+килограмм)","Длина 
Упаковки
(число+см)","Ширина упаковки
(число+см)","Высота 
Упаковки
(число+см)","Цена 
(число+руб)","Фото 
(ссылка)","Цена 
Под заказ (руб)",,
Cotton Club,RU,Cotton Club,Cotton Club,68023280,,AURA влаж.салф.детские 15 шт,,637,,1,1,1,1,1,,,13,1,,
Cotton Club,RU,Cotton Club,Cotton Club,232131312,,AURA влаж.салф.детские 63 шт,,637,,1,1,1,1,1,,,58,4,,
Cotton Club,RU,Cotton Club,Cotton Club,682147,,ГУБКА БОБ освеж.влаж.салфетки 15шт,,637,,1,1,1,1,1,,,29,35,,
Cotton Club,RU,Cotton Club,Cotton Club,687340,,ГУБКА БОБ средство для купания 3 в 1 300мл,,637,,1,1,1,1,1,,,81,61,,
Cotton Club,RU,Cotton Club,Cotton Club,687364,,ГУБКА БОБ шампунь без слез 250мл,,637,,1,1,1,1,1,,,65,97,,
Garden Kids,RU,Garden Kids,Garden Kids,30536,,Garden Kids Кондиционер эк. Ромашка ,1л,,637,,1,1,1,1,1,,,125,98,
Garden Kids,RU,Garden Kids,Garden Kids,30529,,Garden Kids Кондиционер эк. Хлопок ,1л,,637,,1,1,1,1,1,,,125,98,
Garden Kids,RU,Garden Kids,Garden Kids,30451,,Garden Kids Порошок д/стирки эк. б/от ,1350г.,,637,,1,1,1,1,1,,,263,55,
Garden Kids,RU,Garden Kids,Garden Kids,30444,,Garden Kids Порошок д/стирки эк. б/отд ,400г.,,637,,1,1,1,1,1,,,81,84,
Garden Kids,RU,Garden Kids,Garden Kids,30437,,Garden Kids Порошок д/стирки эк. Ромашка ,400г.,,637,,1,1,1,1,1,,,81,84,
